,Profile,Features changed,Perc. features changed with bad shap vals,Distance to data point,Distance to training data point,Target missed
41,Run 1_Trace 1613475757400,1,0.0,0.13541666666666666,0.5470368274944672,False
42,2.19,4,0.0,0.08118200873632894,0.42999999999958205,False
43,Run 1_Trace 1613676513158,1,0.0,0.10144927536231885,0.8603567681623807,False
44,8pg_E04_13.hid,1,0.0,0.31014631725790265,0.5971534932385492,False
45,7241797_20070201143_AFJ155#01_F02.hid,2,0.0,0.17792411208817252,0.2113227355107531,False
46,Run 1_Trace 1613475948721,6,0.0,0.039819927313644754,0.4151346670383841,False
47,Run 1_Trace 1613590654897,3,0.0,0.10113650126215118,0.7930346831326911,False
48,Run 1_Trace 1613475756941,4,0.0,0.07670015825315729,0.5308054155152834,False
49,Run 1_Trace 1613475744834,7,42.857142857142854,0.1417644423399215,0.07174309478272473,False
50,Run 1_Trace 1613565745834,10,30.0,0.11911456287032281,0.0,False
51,Run 1_Trace 1613640261912,3,0.0,0.1807526914780766,0.43867876548939644,False
52,Run 1_Trace 1613475838000,1,0.0,0.08333333333333333,0.5920191379077211,False
53,Run 1_Trace 1613475801231,9,0.0,0.06769943302581788,0.125,False
54,Run 1_Trace 1613475750621,1,0.0,0.3333333333333333,0.5660357492644374,False
55,Run 1_Trace 1613486740116,3,0.0,0.05298393650746375,0.44322092293129006,False
56,Run 1_Trace 1613639992592,2,0.0,0.06907482447913701,0.36881795039773085,False
57,Run 1_Trace 1613475736671,3,0.0,0.15129904053761323,0.5332124514699548,False
58,Run 1_Trace 1613475726685,7,28.57142857142857,0.08351633608777076,0.00037806342569941733,False
59,Run 1_Trace 1613663739179,3,0.0,0.025858803007717954,0.7079917378497732,False
60,Run 1_Trace 1613476006597,4,0.0,0.12191896402001741,0.11366958687379225,False
61,Run 1_Trace 1613475803424,3,0.0,0.030658432625214088,0.465171670340919,False
62,Run 1_Trace 1613481907651,7,42.857142857142854,0.08310671752341027,0.08333333333333333,False
63,Run 1_Trace 1613490921772,5,0.0,0.031087075908535017,1.0519345212586957,False
64,5D5.3,7,0.0,0.07888099770068235,0.20026917750899265,False
65,Run 1_Trace 1613475727035,8,25.0,0.09624194216131199,0.00957760678438524,False
66,Run 1_Trace 1613475802352,6,0.0,0.08662557944411853,0.0,False
67,Run 1_Trace 1613475789015,3,0.0,0.07010757980621772,0.2618206839730202,False
68,Run 1_Trace 1613475781601,4,25.0,0.060385981424691176,0.9463420485491358,False
69,3D5.3,1,0.0,0.057971014492753624,0.8637044656652592,False
70,Run 1_Trace 1613475999502,3,0.0,0.10643115942028986,0.42241950616060514,False
71,Run 1_Trace 1613475951305,8,50.0,0.09976151238084653,0.0,False
